câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Xẹp phổi chèn ép được hồi phục nếu:,Tình trạng kéo dài nhiều tháng,Loại bỏ nguyên nhân gây chèn ép sớm,Bổ sung thuốc giãn phế quản,Tiêm corticosteroid,b
Condyloma có tử cung là:,Tổn thương tiền ung thư,U ác tính,U lành tính,Tổn thương viêm,c
Sinh thiết vú nào được ưu tiên để chẩn đoán mô bệnh học?,Chọc hút kim nhỏ (FNA),Sinh thiết kim lõi,Sinh thiết lỏng,Sinh thiết cắt bỏ,b
U nào thường liên quan đến lạc nội mạc tử cung?,Ung thư thanh dịch,Ung thư nội mạc tử cung,U quái trưởng thành,U loạn sản,b
Ung thư dạ dày lan tỏa thường xảy ra:,"Người già, nam giới","Người trẻ tuổi, không có viêm mạn rõ ràng",Trẻ em,Người có bệnh tự miễn,b
Viêm tuyến giáp cấp thường do:,Lao,Vi khuẩn,Nấm,Virus,b
Bệnh học đại cương nghiên cứu:,Cơ chế bệnh chung,Từng hệ cơ quan riêng biệt,Bệnh di truyền,Bệnh nhiễm trùng,a
Biến chứng đường rò thường gặp trong:,Viêm loét đại tràng,Crohn,Polyp đại tràng,Ung thư dạ dày,b
"Xét về dịch tễ học, loại ung thư phổ biến nhất ở phổi là:",Carcinôm tuyến,Carcinôm tế bào vảy,Carcinôm tế bào nhỏ,Sarcom,a
Polyp có trong cố tử cung thuộc loại:,U ác tính thường gặp,Tổn thương giả ư,Ung thư tuyến có trong,Tổn thương tiền ung,b
Một bệnh nhân ung thư vú có HER2 dương tính sau 1 năm tái phát di căn. Lựa chọn tiếp theo?,Trastuzumab + Paclitaxel,Tamoxifen,Liệu pháp miễn dịch,Chỉ xạ trị,a
Yếu tố nào dưới đây KHÔNG ảnh hưởng đến tiên lượng ung thư buồng trứng?,Giai đoạn bệnh,Đột biến BRCA1/2,Mức CA125,Số lần mang thai,d
Ung thư dạ dày lan rộng có thể di căn đến:,"Gan, hạch quanh dạ dày, buồng trứng",Ruột non,Lách,Thận,a
Tuyến giáp nằm ngang mức đốt sống nào?,C2–C4,C5–T1,T1–T3,T3–T5,b
Chẩn đoán phân tử có thể xác định:,Đột biến gen,Sự biểu hiện protein,Mức độ methyl hóa DNA,"Cả A, B và C",d
Polyp tuyến nhánh có đặc điểm:,"Nhỏ, mềm","Tế bào tuyến dạng nhánh, loạn sản nhiều hơn polyp ống",Không loạn sản,Không liên quan ung thư,b
Đặc điểm mô học của viêm phổi do virus là:,Tế bào Langhans,"Viêm mô kẽ, có tế bào khổng lồ và thể vùi trong bào tương",Hoại tử bã đậu,U hạt dạng kê,b
Vaccine tạo ra:,Miễn dịch tế bào,Miễn dịch dịch thể,Miễn dịch thu động,Miễn dịch tự nhiên,b
Sau phẫu thuật nếu ung thư vú có di căn hạch liệu pháp nào thường được chỉ định?,Theo dõi không điều trị,Chỉ xạ trị,Hóa trị bổ trợ,Phẫu thuật lại,c
"Ở bệnh nhân có nguy cơ cao ung thư buồng trứng, phương pháp nào giúp giảm nguy cơ mắc bệnh?",Cắt buồng trứng dự phòng,Chỉ theo dõi định kỳ,Hóa trị dự phòng,Chế độ ăn giàu đạm,a
Một đặc điểm mô học gợi ý viêm dạ dày tự miễn:,Dị sản ruột ở vùng môn vị,Mất tuyến đáy thân vị,Tuyến đáy tăng sinh,Nhiều bạch cầu ái kiềm,b
Điều trị dứt điểm bọc ống giáp - lưỡi là:,Uống iod,Dùng kháng sinh,Điều trị nội khoa,Phẫu thuật cắt bỏ,d
Kỹ thuật nào giúp đưa ra phác đồ điều trị cá nhân hóa?,Hóa mô miễn dịch,Bệnh học phân tử,Chụp X-quang,Xét nghiệm máu tổng quát,b
FAP nếu không phẫu thuật sớm sẽ dẫn đến:,Xơ gan,Ung thư đại tràng 100%,Viêm tụy mạn,Thiếu máu ác tính,b
Tổn thương đặc trưng trong lao phổi nguyên phát là:,Phức hợp Ghon,Hang lao,Xơ phổi,U hạt dạng kê,a
Đặc điểm nào sau đây KHÔNG phù hợp với polyp nội mạc tử cung?,Mô đêm xơ hóa,Nhiều mạch máu,Mặt cắt mềm nhũn hoại từ,Tuyến giãn rộng,c
Yếu tố nguy cơ chính của ung thư vú là gì?,Nhiễm virus HPV,Tiếp xúc với tia UV,Đột biến BRCA1/BRCA2,Nhiễm vi khuẩn Helicobacter pylori,c
Khu vực nào có tỷ lệ ung thư buồng trứng cao nhất?,Châu Phi,Bắc Mỹ và Châu Âu,Đông Nam Á,Trung Đông,b
Biến chứng thường gặp của polyp dạ dày:,Viêm tụy,Tắc ruột,"Chảy máu, loét, chuyển dạng ác tính",Tăng hấp thu,c
"Thể u nào có nhân giống ""mắt hạt cà""?",Ung thư tủy,Ung thư nang,Ung thư nhú,U tuyến giáp lành,c
Bệnh học hóa học tập trung vào phân tích:,Dịch cơ thể,Mô bệnh học,Cấu trúc DNA,Vi khuẩn,a
Xét nghiệm sàng lọc ung thư đại tràng phổ biến:,AFP,FOBT (test máu ẩn trong phân),CA125,Xét nghiệm đông máu,b
Hình ảnh vi thể đặc trưng trong bệnh bụi phổi amiăng:,Tế bào bọt,Thể vùi amiăng trong đại thực bào,Tế bào u biểu mô,Hang lao,b
U cơ trơn là u:,Ác tính,Trung gian,Lành tính phổ biến nhất,Không phân loại được,c
Thuốc nào là liệu pháp đích cho ung thư vú HER2 dương tính?,Tamoxifen,Trastuzumab,Letrozole,Bevacizumab,b
Xạ trị có vai trò gì trong điều trị ung thư buồng trứng?,Điều trị chính,Điều trị hỗ trợ giai đoạn sớm,Điều trị giảm nhẹ triệu chứng,Không có vai trò trong ung thư buồng trứng,c
Loét dạ dày là:,Viêm dạ dày lan tỏa,Mất lớp niêm mạc xuyên qua lớp cơ niêm,Phình giãn lòng dạ dày,Viêm cấp,b
Mô học phình giáp đơn thuần giai đoạn sớm thường thấy:,Thâm nhiễm lympho,"Nang giáp giãn to, lớp tế bào dẹt",Mô đệm xơ hóa nhiều,Biệt hóa gai,b
Hippocrates cho rằng bệnh tật là do:,Tế bào đột biến,Sự mất cân bằng của bốn dịch trong cơ thể,Nhiễm khuẩn từ môi trường,Sự thay đổi của DNA,b
Biến chứng thường gặp của viêm ruột thừa không điều trị:,Xuất huyết,"Hoại tử, thủng, viêm phúc mạc",Thiếu máu,Hội chứng ruột kích thích,b
Tràn dịch màng phổi có thể do:,Lao phổi,Suy tim,Ung thư,Tất cả các nguyên nhân trên,d
Polyp thường gặp ở phụ nữ:,Trẻ tuổi,Mãn kinh,Sau sinh,Mang thai,b
Trong ung thư vú di căn xương phương pháp điều trị bổ trợ nào thường được sử dụng?,Hóa trị liều cao,Bisphosphonates,Phẫu thuật cắt bỏ tuyến vú,Xạ trị toàn thân,b
Loại u buồng trứng nào thường gặp ở phụ nữ trẻ?,U tế bào mầm,U biểu mô,U dây sinh dục – mô đệm,U di căn,a
Polyp dạ dày là:,Khối mô ác tính,Sự xâm lấn mô liên kết,Tổn thương dạng u lành phát triển từ niêm mạc dạ dày,Tăng sản tuyến đáy,c
Bao u trong u tuyến giáp lành là:,"Mỏng manh, dễ vỡ",Không tồn tại,"Xơ hóa rõ, phân biệt u và mô lành",Hoại tử hóa,c
Kỹ thuật nào giúp phân tích mức độ enzyme trong cơ thể?,Bệnh học hóa học,Bệnh học mô học,Bệnh học tế bào học,Bệnh học huyết học,a
Viêm ruột thừa cấp điển hình do:,Viêm gan,"Tắc nghẽn lòng ruột thừa (sỏi phân, tăng sản mô lympho)",Lao ruột,Nhiễm nấm,b
"Trong u nhú thanh quản, mô học thấy:",Mô xơ hóa,"Biểu mô lát tầng sừng hóa, tạo nhú",U tuyến,Hoại tử,b
HPV gây ung thư do:,Gây viêm cấp,Gây hoại từ mô,Ức chế gen p53 Rb,Làm tăng tiết dịch nhầy,c
Ung thư vú ba âm tính có phác đồ điều trị nào hiệu quả nhất?,Hóa trị dựa trên anthracycline và taxane,Liệu pháp nội tiết,Liệu pháp kháng HER2,Xạ trị đơn thuần,a
U buồng trứng nào liên quan đến hội chứng Lynch?,Ung thư thanh dịch,Ung thư nội mạc tử cung,Ung thư tế bào sáng,U quái trưởng thành,b
Dạng mô học của carcinôm tuyến dạng lan tỏa:,Tế bào kết dính mạnh,Tế bào hình nhẫn (signet ring cells),Tế bào gai,Tế bào nốt vôi,b
Tràn khí màng phổi xảy ra khi:,Dịch thấm vào khoang màng phổi,Không khí xâm nhập khoang màng phổi,Máu tràn vào màng phổi,Lympho thấm qua,b
Condyloma có tử cung do nhiễm:,HPV type 16 18,HPV type 6 11,EBV,HSV,b
Thuốc nào là lựa chọn hàng đầu cho bệnh nhân ung thư vú có đột biến BRCA?,Olaparib,Tamoxifen,Trastuzumab,Cyclophosphamide,a
Tỷ lệ ung thư buồng trứng cao nhất ở nhóm tuổi nào?,Dưới 20 tuổi,20 – 30 tuổi,50 – 70 tuổi,Trên 80 tuổi,c
Tế bào hình nhẫn có đặc điểm:,"Nhân ở giữa, bào tương ít","Nhân lệch về một phía, bào tương chứa nhầy",Nhân đa thùy,Nhân tăng sắc và lớn,b
U trung biểu mô màng phổi liên quan tới:,Bụi silic,Khí CO2,Amiăng (asbestos),Suy tim,c
CIN là:,Ung thư cổ tử cung,Loạn sản tế bào tuyến,Tổn thương tiền ung thư,U lành tính cổ tử cung,c
Triệu chứng sớm nhất thường gặp của ung thư vú là gì?,Đau vú,Chảy dịch núm vú,Khối u sờ thấy,Tụt núm vú,c
"Khi ung thư buồng trứng đã di căn phúc mạc, phương pháp điều trị nào thường được sử dụng?",Hóa trị toàn thân,Xạ trị,Nội soi cắt khối u,Điều trị nội tiết,a
Polyp tuyến có nguy cơ:,Tự thoái triển,Tăng tiết acid,Chuyển dạng ác tính thành carcinôm tuyến,Hoại tử,c
Carcinôm hầu mũi (nasopharyngeal carcinoma) thường biểu hiện triệu chứng đầu tiên là:,Sốt cao,Đau họng,Hạch cổ sưng không đau,Khó thở đột ngột,c
HPV có thể gây ung thư nào KHÔNG thuộc đường sinh dục:,Ấm đạo,Hầu môn,Hầu họng,Gan,d
Liệu pháp miễn dịch chủ yếu nhắm vào mục tiêu nào trong ung thư vú?,HER2,PD-1/PD-L1,EGFR,VEGF,b
Phương pháp nào giúp phân biệt giữa u buồng trứng lành tính và ác tính?,Chỉ số ROMA,Xét nghiệm glucose,Nội soi dạ dày,Siêu âm gan,a
Nguyên nhân chủ yếu gây loét dạ dày:,Tăng áp lực máu,H. pylori và NSAIDs,Rượu mạnh,Stress cấp,b
Carcinôm thanh quản tế bào vảy thường xuất hiện ở:,Người trẻ không hút thuốc,"Người lớn tuổi có tiền sử hút thuốc, uống rượu",Trẻ em,Phụ nữ tuổi sinh sản,b
Vaccine HPV không khuyến cáo cho:,Người đị ứng thành phần,Phụ nữ sau mãn kinh,Người có CIN I,Người có tiền sử nhiễm HPV,a
Phương pháp nào có thể theo dõi tái phát ung thư vú sớm?,Chụp nhũ ảnh,Siêu âm,Sinh thiết lỏng,MRI,c
Xét nghiệm nào giúp xác định nguy cơ di truyền ung thư buồng trứng?,PCR,Giải trình tự gen BRCA1/2,CA125,Test nhanh HPV,b
Viêm dạ dày mạn có thể dẫn đến biến đổi nào nguy hiểm?,Viêm ruột thừa,Thoát vị hoành,Carcinôm tuyến dạ dày,Giảm tiết insulin,c
Giai đoạn đầu của viêm phổi thùy phổi là:,Giai đoạn gan hóa đỏ,Giai đoạn gan hóa xám,Giai đoạn xơ hóa,Giai đoạn sung huyết,d
Carcinoma tế bào gai loại biệt hóa tốt có đặc điểm:,Cấu sừng rõ,Không có chất sừng,Tế bào nhỏ dị dạng,Xâm nhập mạch máu,a
Dạng ung thư vú xâm lấn phổ biến nhất là gì?,Ung thư tiểu thùy xâm lấn,Ung thư thể nhầy,Ung thư ống tuyến xâm lấn,Ung thư dạng nội mạc,c
Tại sao siêu âm qua ngả âm đạo có giá trị trong chẩn đoán u buồng trứng?,Phát hiện sớm khối u nhỏ,Chỉ sử dụng trong giai đoạn muộn,Không phân biệt được lành tính hay ác tính,Ít có giá trị trong đánh giá bệnh,a
Loét lành có đặc điểm:,Viêm cấp nặng,Biểu mô tăng sinh mạnh,Tái tạo mô và mô sợi tổ chức hóa,Tạo nang,c
Mô học của polyp mũi:,Hoại tử bã đậu,"Mô liên kết phù nề, thấm nhập tế bào viêm",Sừng hóa,Áp xe,b
Yếu tố nguy cơ lớn nhất là:,Quan hệ tính dục sớm,HPV,Hút thuốc,Viêm cổ tử cung,b
Bệnh nhân 55 tuổi có khối u vú HER2 dương tính phương pháp điều trị nào hiệu quả nhất?,Tamoxifen,Trastuzumab + Hóa trị,Liệu pháp miễn dịch,Chỉ xạ trị,b
Hội chứng Meigs liên quan đến loại u nào?,U quái trưởng thành,U sợi buồng trứng,U thanh dịch,U nhầy,b
"Trong khí phế thủng, hiện tượng mô học nổi bật là:",Dày màng đáy,"Giãn rộng phế nang, mất vách phế nang",Xơ hóa quanh tiểu phế quản,Lắng đọng collagen,b
Adenomyosis là sự hiện diện của mô nào ở vị trí bất thường?,Mô lympho,Mô thần kinh,Mô nội mạc tử cung trong cơ tử cung,Mô xương trong nội mạc tử cung,c
HER2 khuếch đại có liên quan đến cơ chế nào trong ung thư vú?,Mất điều hòa chu kỳ tế bào,Tăng hoạt động tyrosine kinase,Giảm sửa chữa DNA,Ức chế miễn dịch,b
Ung thư buồng trứng giai đoạn muộn thường di căn đến cơ quan nào?,Phổi,Gan,Màng bụng (phúc mạc),Não,c
Tổn thương trong viêm phổi virus thường khu trú ở:,Phế quản lớn,Mô kẽ phổi,Phế nang chứa mủ,Mạch máu phổi,b
Lao nội mạc tử cung do tác nhân nào gây ra?,Mycoplasma genitalium,Mycobacterium tuberculosis,Neisseria gonorrhoeae,Candida albicans,b
Tamoxifen có cơ chế hoạt động như thế nào?,Ức chế HER2,Chống estrogen tại mô vú,Kích thích thụ thể androgen,Ức chế tyrosine kinase,b
"Bệnh nhân nữ 55 tuổi, có cổ trướng, CA125 tăng cao, khối u buồng trứng lớn. Chẩn đoán phù hợp nhất?",U tế bào mầm,Ung thư buồng trứng giai đoạn muộn,U buồng trứng giáp biên,Lạc nội mạc tử cung,b
Carcinôm tế bào nhỏ phế quản thường:,Phát triển chậm,Phân bào ít,Có nguồn gốc từ tế bào thần kinh nội tiết,Không di căn sớm,c
Trong viêm nội mạc tử cung man tính do lao mô đêm thường có gì?,Vì thế bình thường,Mạch máu tăng sinh,Hạt viêm dạng lao,Dị sản biểu mô,c
Bộ xét nghiệm nào có thể giúp xác định bệnh nhân có cần hóa trị hay không?,Oncotype DX,Mammography,CA 19-9,Xét nghiệm máu tổng quát,a
Chất ức chế PARP (Olaparib) có hiệu quả nhất ở bệnh nhân nào?,Đột biến BRCA1/2,Đột biến TP53,Đột biến KRAS,Ung thư buồng trứng lành tính,a
Đặc điểm chính của giãn phế quản:,Phổi teo nhỏ,Phế quản giãn không hồi phục do phá hủy thành phế quản,Xơ phổi khu trú,Hang lao,b
Triệu chứng làm sáng chính của bệnh là?,Sốt cao,Đau vùng chậu và vô sinh,Tăng cân,Chảy máu cam,b
Đặc điểm nào là dấu hiệu tiên lượng xấu trong ung thư vú?,ER dương tính,HER2 âm tính,Ki-67 cao (>20%),Kích thước u <2 cm,c
Một bệnh nhân được chẩn đoán ung thư buồng trứng thanh dịch độ cao. Phương pháp điều trị phù hợp?,Hóa trị đơn thuần,Phẫu thuật cắt bỏ + Hóa trị,Theo dõi định kỳ,Điều trị nội tiết,b
Một trường hợp bệnh nhân chảy máu tử cung bất thường nên nghi ngờ đến những không phải u nang buồng trứng đầu tiên?,Viêm mạn tính,Tăng sản nội mạc tử cung,U nang buồng trứng,Thiếu máu mạn,b
Loại ung thư nội mạc tử cung thường gặp nhất là?,Sarcoma,Carcinoma tuyến,U lympho,U cơ trơn ác tính,b
Cơ chế bệnh sinh được chấp nhận nhiều nhất là?,Nhiễm trùng,Dị ứng,Kinh nguyết ngược dòng,Thiếu máu,c
Đại thực bảo chứa hemosiderin là đặc điểm vì thế của?,Viêm nội mạc tử cung,Tăng sản,Lạc nội mạc tử cung,U cơ trơn,c
Vi khuẩn nào sau đây thường gặp trong viêm nội mạc tử cung?,Bacillus anthracis,Streptococcus,Helicobacter pylori,Clostridium tetani,b
Độ tuổi tiêm vaccine lý tưởng:,Trẻ gái 9-14 tuổi,Phụ nữ mang thai,Nam giới trên 50,Người sau điều trị ung thư,a
Biểu mô phủ bề mặt polyp có trong là:,Biểu mô lát tầng không sừng hóa,Biểu mô trụ đơn tiết nhầy,Biểu mô chuyên sản gai,Biểu mô dị sản,b
Lạc nội mạc tử cung thường xảy ra ở vị trí nào nhiều nhất?,Cổ tử cung,Thành bung,Buồng trứng,Phổi,c
Pap smear phát hiện:,Koilocyte,Virus sống,DNA virus,Ung thư phôi,a
Vaccine Gardasil 9 bảo vệ được:,2 type HPV,4 type HPV,9 type HPV,11 type HPV,c
Tăng sản nội mạc tử cung xảy ra khi nào?,Thiếu Estrogen,Progesterone vượt trội,Estrogen tăng cao kéo dài không bị đối kháng bởi Progesterone,Testosterone tăng cao,c
Đặc điểm đại thể của polyp:,Khối xú xi màu nâu sâm,Dạng loét nông,Khối tròn màu hồng nhạt trong lắng,Khối dẹt hoại từ,c
CIN thường không có triệu chứng ngoài trừ:,Đau đầu,Sốt,Khi hư kéo dài ra huyết bất thường,Tiêu chảy,c
Vaccine phòng được:,Tất cả các type HPV,Giảm 100% type nguy cơ cao,>90% type nguy cơ cao gây UTCTC,Chỉ HPV 6 và 11,c
Dạ số CIN I:,Tiến triển thành ung thư,Tự thoái triển,Không điều trị được,Cắn cắt tử cung,b
Tăng sản nội mạc tử cung không điển hình có nguy cơ tiến triển thành ung thư?,Cao hơn tăng sản không điển hình,Thấp hơn,Không có nguy cơ,Ngược lại,a
Đặc điểm mô học đặc trưng cho nhiễm HPV:,Tế bào koilocyte,Tế bào dạng tuyến,Tế bào hoại từ,Tế bào dạng gai,a
Vaccine HPV không chứa:,DNA virus,Protein L1,VLPs,Tác nhân gây ung thư,a
Hình thái mô học của carcinoma biệt hóa tốt (grad 1) là?,Tế bào không biệt hóa,Tạo ống tuyến rõ đâm đặc <5%,Tăng sản không điển hình,Nhân không chia,b
Pap smear phát hiện:,Tăng sản nội mạc,Loạn sản cổ tử cung,Polyp nội mạc,U xơ tử cung,b
CIN II và III:,Luôn luôn thoái triển,Không có liên quan đến HPV,Nguy cơ cao tiến triển thành ung thư,Không cần điều trị,c
Hệ thống phân loại hiện đại cho CIN là:,WHO,Bethesda,Gleason,FIGO,b
Ung thư tuyến cổ trong chiểm:,70%,10-15%,50%,5%,b
Polyp nội mạc là loại u nào?,U mạch,U lympho,U lành tính mô đêm nối mạc có tính đơn dòng,U cơ trơn,c
U cơ trơn tử cung thường có hình dạng đại thế như thế nào?,Đâm rải rác trong nội mạc,Dạng polyp nhỏ,U trộn giới hạn rõ chắc,Tổ chức mềm dạng nhầy,c
Tế bào koilocyte có thể gặp trong:,Viêm cổ tử cung không đặc hiệu,CIN I,Carcinoma tuyến,U cơ trơn tử cung,b
Tổn thương mô học thường thấy là?,Tuyến nhỏ thưa,Mô đêm xơ nhiều tuyến giãn rộng,Cấu trúc sarcoma,Viêm mủ,b
Viêm nội mạc tử cung cấp thường do?,Nhiễm nấm,Nhiễm virus,Nhiễm khuẩn sau sinh,Do u,c
Kích thước điển hình của polyp có trong thường:,>5cm,<3cm,5-7cm,3-5cm,b
Condyloma có thể tiến triển thành ung thư khi:,Nhiễm HPV type thấp nguy hiểm,Động nhiễm HPV nguy cơ cao,Nhiễm virus EBV,Bệnh lý miễn dịch,b
Một triệu chứng đặc trưng của adenomyosis là?,Khó thở,Tăng huyết áp,Đau bung kinh,Viêm khớp,c
U dưới nội mạc thường gây?,Bí tiêu,Xuất huyết tử cung bất thường,Vô sinh nam,Hoại từ buồng trứng,b
Trong lạc nội mạc tử cung mô đêm có thể biến đổi thành?,Xương,Biểu mô gai,Mô cơ trơn,U hạt,c
CIN có liên quan chặt chẽ đến nhiễm:,HSV,HPV nguy cơ cao,EBV,H. pylori,b
Yếu tố nguy cơ của CIN KHÔNG BAO GỒM:,Hút thuốc lá,HPV nguy cơ cao,Suy giảm miễn dịch,Sử dụng vitamin D,d
Loại biểu mô có thể thấy chuyên sản trong polyp:,Biểu mô lát tầng gai,Biểu mô giả tầng,Biểu mô tiết nhầy,Biểu mô gai chuyên sản,d
Carcinoma nội mạc tử cung grad 3 khác biệt với grad 1 ở điểm nào?,Có nhân đông nhất,Tạo ống tuyến rõ,Tỉ lệ đâm đặc > 50%,Không dị dạng tế bào,c
Tổn thương đại thể nào sau đây dùng với u cơ trơn?,Màu đỏ tươi chảy dịch,Mặt cắt trắng xám dạng cuộn,U mềm nhầy,Tăng sinh tuyến,b
Phản ứng viêm kèm theo polyp là nguyên nhân gây:,Loạn sản biểu mô,Giãn rộng mạch máu,Tăng sinh tuyến,Dị sản nhẹ,b
Tần suất ung thư nội mạc tử cung cao nhất ở vùng?,Đông Nam Á,Châu Âu và Bắc Mỹ,Trung Đông,Châu Phi,b
Biểu hiện lâm sàng phổ biến nhất là?,Đau đầu,Xuất huyết tử cung bất thường,Buồn nôn,Bí tiêu,b
